"","GSM580027_HEK293_B1.CEL","GSM580028_HEK293_B2.CEL","GSM580039_HCT116_B1.CEL","GSM580040_HCT116_B2.CEL","GSM993504_H9ES_B1.CEL","GSM993505_H9ES_B2.CEL","GSM993507_HEK293T_B1.CEL","GSM993508_HEK293T_B2.CEL","GSM993509_HeLa-S3_B1.CEL","GSM993510_HeLa-S3_B2.CEL","GSM993511_HeLa-S3_B3.CEL","GSM993518_HepG2_B1.CEL","GSM993519_HepG2_B2.CEL","GSM993520_HepG2_B3.CEL","GSM993543_HUVEC_B1.CEL","GSM993544_HUVEC_B2.CEL","GSM993551_K562_B1.CEL","GSM993553_K562_B2.CEL","GSM993555_K562_B3.CEL"
"3204496",8.574374,8.473463,7.643609,7.956685,6.886978,6.709728,7.012225,7.162879,8.778213,8.775251,8.445006,8.126555,7.938714,8.04606,7.561085,7.666669,7.448272,7.481134,7.53153
"3204534",10.3554,10.68161,10.58978,10.7737,9.007736,9.934417,9.97154,9.452551,9.504189,9.382567,9.3232,10.27907,10.10776,10.4822,9.9588,9.761401,10.3191,10.57183,10.46774
"3204558",7.137711,7.152788,7.413782,7.704772,6.633682,6.373471,5.887128,6.894558,7.266094,7.42342,7.393992,6.500854,6.371564,6.75997,8.315141,8.590276,6.792987,7.129205,6.901174
"3204610",2.890696,3.070688,3.370102,3.269364,4.38634,3.386326,3.785687,3.348576,3.627078,3.29629,2.778409,2.848395,3.418762,3.565984,3.623915,3.438544,4.130689,3.678684,3.282199
"3204648",4.76191,4.715317,5.040785,4.806133,5.309357,5.425333,4.884324,4.819068,4.266464,4.59189,4.365319,4.22699,4.449751,4.606294,4.713815,4.70528,4.638169,4.727806,4.667544
"3204680",3.940081,3.792787,4.45911,4.343108,5.716408,4.745553,4.827215,4.867812,4.277329,4.244318,3.925427,5.129908,4.809001,4.489423,4.411662,4.409365,4.489423,4.637564,4.489423
"3204692",7.967581,7.944194,7.553088,7.731249,7.257779,7.094655,7.118548,6.909912,7.221902,7.200409,7.588818,6.995079,7.074426,7.049204,6.266103,6.134924,7.061896,7.112429,7.212528
"3204721",6.170228,5.944629,9.274127,9.226579,10.69245,10.91226,7.204304,6.987127,8.161212,8.361574,8.460682,5.702597,5.031126,5.285418,9.002018,8.844706,5.178587,5.888472,5.641164
"3204744",8.733973,9.019022,8.428589,8.805659,6.76303,6.716177,7.024625,6.857638,8.90097,8.973542,8.827397,9.122893,9.045983,8.918799,10.1092,10.43329,9.915719,9.84599,9.76361
"3204833",7.848223,7.737511,7.382357,7.388575,6.963387,6.984696,6.3796,6.211653,7.487464,7.557821,7.340276,8.365185,8.284424,8.101201,8.404246,8.331109,7.722235,7.822671,7.887473
