"","HEK293","HCT","H9","HEK293T","HELA","HEPG2","HUVEC","K562"
"3723071",6.29979549049196,6.01547031003299,5.9573569675353,6.31930211820709,6.15532028017325,6.22125751681837,6.08684175026075,6.55096658953708
"3723120",5.47717781551733,5.76762119404972,5.88693885373565,5.3044982813641,5.76956726863356,6.49423577896755,5.55941351834316,6.02442507206409
"3723128",6.44627353353532,6.40507068484229,6.29047372055927,6.21150571737349,6.04081122166401,6.00485262847361,6.33433518602144,6.30671195416189
"3723186",4.38114085433406,4.45398650651959,4.84631675454607,5.36144865668451,4.40550393330306,4.48351686659818,4.54573206965609,4.66763893747222
"3723204",5.11270895774971,4.71633795278056,4.36141628148696,4.93855180632422,5.97845761771851,4.61579694356899,4.52132470615014,4.58703968850558
"3723264",9.34664755667498,8.97513308492133,8.85091472144931,8.99949240584896,9.03725265815774,9.68441853990325,9.13596047122567,9.76227136469853
"3723317",6.20763647989567,5.69452001459229,5.77667182372149,5.88033919028592,6.6584691750603,7.13519648150076,5.84156326399636,6.30886921971076
"3723348",7.63019992516953,8.41771681061174,8.26671495845378,8.63514967376479,8.27942519500912,8.56456910522911,7.36200666201898,7.93337181796548
"3723355",6.82066770243843,7.69677291701406,7.17586885500956,7.03712873205268,6.85061038633513,7.76356909138969,6.43235125853142,6.23918129585637
"3723378",6.45876963733657,6.62503944454906,6.52550476204431,6.45303059757555,7.69583487634579,6.04000473113449,6.28010048257752,7.64851815284358
"3723572",5.93850235904199,5.66903901531592,5.16079571221945,5.37918431837267,5.20281902012492,5.25905091233375,4.66601796440389,4.85332154602822
"3723627",5.7001930571177,5.72666717677903,6.04160136916026,5.92016837436575,5.15732264255045,5.5178005870068,5.81492672118065,5.56971923214106
"3723671",5.59953916735631,5.85650320770898,5.97636836855406,5.7984223959686,5.48971863390428,5.64255714520428,5.85853708403558,6.03883455604966
"3723687",5.43790221722875,6.9015987930005,5.58253386775265,6.01159925278868,5.78951637960648,5.6115787101245,5.17304547185815,5.33260123513945
"3723755",3.73991867941247,4.46558897374622,4.16168966060475,3.81728928249379,3.74746901434861,4.00993978526167,4.53823402098967,4.18119926858983
"3724197",8.72269478117346,8.90581530012961,7.68189232990992,8.43353075457809,8.25973333366463,8.68042123106911,8.3657433815305,8.36467330260126
"3724318",5.42140208127559,5.49761168934253,5.94822667618836,5.82011275979655,5.94511800170643,5.82179193649752,6.43562007529127,6.24541005092432
"3724360",7.51151720804573,7.64858113448569,7.01754885243469,7.34775820324319,7.16170650807264,8.05118596719633,7.6499540677436,8.13818793391571
"3724505",4.51823554535421,4.79484705061967,5.85058351163489,5.37977754450839,4.39435308182162,4.37229153210654,5.12374373471204,8.40235447746587
"3724545",5.49924057706927,4.52276093372848,4.56959001073599,4.50537659391888,4.27355203246564,4.49480439505759,9.08837195873036,4.95035660673627
"3724591",3.34372281056254,2.86667289248491,3.71734257185058,3.21834736265457,3.22126996899561,3.01239716130218,3.42223158017327,3.14832981115249
"3724698",9.52732475319668,9.87243009866265,9.62959937971091,10.1167898964492,10.0984744866838,9.60691939925259,9.02311407744443,9.43984372224885
"3724782",10.0231063601945,9.80023622349787,9.37161178706426,9.76229953083199,10.6388451331612,10.4395751054076,10.4640783783008,10.7695662256984
"3724824",6.65163150045784,6.59170969615508,6.44733338320291,6.5860507392193,5.88213226073524,6.66111376375872,6.72509963205691,7.01129060422862
"3724858",5.36240162901295,5.4605454137592,5.63467313194637,6.07724763361005,5.39876436439201,5.50302680862246,5.64348535738142,5.86686556577291
"3724895",5.48939097888291,5.28138124424871,5.1020712867733,5.03237753924089,5.04494438260405,4.67289864817469,4.80285666323591,5.01335682901234
"3724917",3.79419940150942,4.21557391570166,4.19644408324161,3.86338746383507,3.56771524575497,3.63457065632003,3.95373965114543,3.87889440755779
